Oper,DataType,Code,#Operand,#Result,Latency,Throughput,UMC28-Area (um2),UMC28-Power (uW),VU9P-TotalLUTs,VU9P-LogicLUTs,VU9P-LUTRAMs,VU9P-SRLs,VU9P-FFs,VU9P-RAMB36,VU9P-RAMB18,VU9P-URAM,VU9P-DSPBlocks,Notes
SI8ToUI16,I32x8,1990,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
RShf,U8x4,1991,2,1,1,1,,,49,49,0,0,0,0,0,0,0,
FAdd,F32x8,1992,2,1,1,1,,,6605,6605,0,0,0,0,0,0,0,
Div,I32,1993,2,1,1,1,,,1257,1257,0,0,0,0,0,0,0,
SI64ToSI16,I64x4,1994,1,1,1,1,,,42,42,0,0,0,0,0,0,0,
UI16ToUI32,U32,1995,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI16ToUI64,I64x2,1996,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
LAnd,D64,1997,2,1,1,1,,,36,36,0,0,0,0,0,0,0,
nnMulAdd,U8x4,1998,3,1,1,1,,,430,430,0,0,0,0,0,0,0,
FppMulAdd,H16x2,1999,3,1,1,1,,,1324,1324,0,0,0,0,0,0,2,
UI8ToF32,D64x4,2000,1,1,1,1,,,85,85,0,0,0,0,0,0,0,
SI16ToUI32,U64x8,2001,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
SI16ToSI64,I64x4,2002,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI32ToH16,F32x4,2003,1,1,1,1,,,507,507,0,0,0,0,0,0,0,
LAnd,U16x4,2004,2,1,1,1,,,37,37,0,0,0,0,0,0,0,
SI8ToUI8,U32x2,2005,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI8ToUI16,I64x8,2006,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
LNot,I16,2007,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
LXor,D64x4,2008,2,1,1,1,,,109,109,0,0,0,0,0,0,0,
UI8ToSI32,U32,2009,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
LNot,U64x2,2010,1,1,1,1,,,46,46,0,0,0,0,0,0,0,
NE,I16x2,2011,2,1,1,1,,,14,14,0,0,0,0,0,0,0,
UI16ToD64,D64x2,2012,1,1,1,1,,,138,138,0,0,0,0,0,0,0,
UI32ToF32,D64x8,2013,1,1,1,1,,,1048,1048,0,0,0,0,0,0,0,
SI32ToF32,D64x8,2014,1,1,1,1,,,1749,1749,0,0,0,0,0,0,0,
FGT,H16x4,2015,2,1,1,1,,,418,418,0,0,0,0,0,0,0,
FixedSin,I64x4,2016,1,1,1,1,,,1350,1350,0,0,0,0,0,0,0,
LT,U64,2017,2,1,1,1,,,34,34,0,0,0,0,0,0,0,
SI8ToUI32,U32x4,2018,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
SI32ToUI8,U32x4,2019,1,1,1,1,,,22,22,0,0,0,0,0,0,0,
npMulAdd,I8x4,2020,3,1,1,1,,,350,350,0,0,0,0,0,0,0,
SI16ToUI64,U64,2021,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
H16ToSI32,F32x8,2022,1,1,1,1,,,1050,1050,0,0,0,0,0,0,0,
SI32ToF32,F32,2023,1,1,1,1,,,220,220,0,0,0,0,0,0,0,
FixedSin,U32x4,2024,1,1,1,1,,,589,589,0,0,0,0,0,0,0,
npMulAdd,I16x2,2025,3,1,1,1,,,24,24,0,0,0,0,0,0,2,
LE,I32x4,2026,2,1,1,1,,,67,67,0,0,0,0,0,0,0,
UI8ToH16,H16x4,2027,1,1,1,1,,,85,85,0,0,0,0,0,0,0,
F32ToSI8,D64x2,2028,1,1,1,1,,,385,385,0,0,0,0,0,0,0,
FMul,D64x2,2029,2,1,1,1,,,2629,2629,0,0,0,0,0,0,18,
SI8ToUI32,I64x2,2030,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI8ToSI8,I32x8,2031,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
Add,U64,2032,2,1,1,1,,,97,97,0,0,0,0,0,0,0,
Mul,U16x8,2033,2,1,1,1,,,91,91,0,0,0,0,0,0,8,
Div,I64,2034,2,1,1,1,,,4568,4568,0,0,0,0,0,0,0,
Div,I16x2,2035,2,1,1,1,,,705,705,0,0,0,0,0,0,0,
SI16ToUI8,I16x8,2036,1,1,1,1,,,18,18,0,0,0,0,0,0,0,
UI8ToUI16,U32,2037,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
SI8ToSI64,I64x4,2038,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI8ToSI8,I64x8,2039,1,1,1,1,,,7,7,0,0,0,0,0,0,0,
F32ToSI16,F32x4,2040,1,1,1,1,,,832,832,0,0,0,0,0,0,0,
FixedCos,I64x8,2041,1,1,1,1,,,2185,2185,0,0,0,0,0,0,0,
SI8ToUI8,I32x2,2042,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
UI8ToF32,F32x2,2043,1,1,1,1,,,45,45,0,0,0,0,0,0,0,
H16ToSI8,D64x8,2044,1,1,1,1,,,828,828,0,0,0,0,0,0,0,
Mod,U16x4,2045,2,1,1,1,,,1256,1256,0,0,0,0,0,0,0,
UI16ToSI32,U64,2046,1,1,1,1,,,1,1,0,0,0,0,0,0,0,
UI8ToUI32,U64x8,2047,1,1,1,1,,,5,5,0,0,0,0,0,0,0,
FixedSin,I32x4,2048,1,1,1,1,,,589,589,0,0,0,0,0,0,0,
LNot,D64,2049,1,1,1,1,,,23,23,0,0,0,0,0,0,0,
UI8ToF32,D64,2050,1,1,1,1,,,20,20,0,0,0,0,0,0,0,
UI8ToUI16,U64x2,2051,1,1,1,1,,,2,2,0,0,0,0,0,0,0,
D64ToUI8,D64x2,2052,1,1,1,1,,,259,259,0,0,0,0,0,0,0,
LNot,I16x8,2053,1,1,1,1,,,33,33,0,0,0,0,0,0,0,
LAnd,U16x2,2054,2,1,1,1,,,19,19,0,0,0,0,0,0,0,
FGT,F32x4,2055,2,1,1,1,,,968,968,0,0,0,0,0,0,0,
UI16ToSI8,U16x4,2056,1,1,1,1,,,10,10,0,0,0,0,0,0,0,
FAdd,H16,2057,2,1,1,1,,,398,398,0,0,0,0,0,0,0,
LE,I16,2058,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
SI32ToSI16,I32x8,2059,1,1,1,1,,,31,31,0,0,0,0,0,0,0,
UI64ToUI32,U64x8,2060,1,1,1,1,,,62,62,0,0,0,0,0,0,0,
RShf,U8,2061,2,1,1,1,,,13,13,0,0,0,0,0,0,0,
GT,U8x2,2062,2,1,1,1,,,10,10,0,0,0,0,0,0,0,
LXor,H16x4,2063,2,1,1,1,,,28,28,0,0,0,0,0,0,0,
RShf,U64x4,2064,2,1,1,1,,,746,746,0,0,0,0,0,0,0,
FppMulAdd,F32x2,2065,3,1,1,1,,,2530,2530,0,0,0,0,0,0,4,
LShf,I32x4,2066,2,1,1,1,,,337,337,0,0,0,0,0,0,0,
ppMulAdd,U8x4,2067,3,1,1,1,,,334,334,0,0,0,0,0,0,0,
Sub,I64x2,2068,2,1,1,1,,,193,193,0,0,0,0,0,0,0,
LShf,U16x2,2069,2,1,1,1,,,72,72,0,0,0,0,0,0,0,
SI8ToUI32,U64x4,2070,1,1,1,1,,,4,4,0,0,0,0,0,0,0,
Sub,I32x4,2071,2,1,1,1,,,193,193,0,0,0,0,0,0,0,
F32ToH16,F32x4,2072,1,1,1,1,,,934,934,0,0,0,0,0,0,0,
FixedCos,U64x4,2073,1,1,1,1,,,1093,1093,0,0,0,0,0,0,0,
SI16ToSI8,I64,2074,1,1,1,1,,,3,3,0,0,0,0,0,0,0,
SI64ToUI16,U64x2,2075,1,1,1,1,,,21,21,0,0,0,0,0,0,0,
ppMulAdd,U16x8,2076,3,1,1,1,,,91,91,0,0,0,0,0,0,8,
FixedCos,U64,2077,1,1,1,1,,,274,274,0,0,0,0,0,0,0,
LShf,I16x2,2078,2,1,1,1,,,72,72,0,0,0,0,0,0,0,
H16ToUI16,D64x2,2079,1,1,1,1,,,242,242,0,0,0,0,0,0,0,
UI64ToSI32,U64x8,2080,1,1,1,1,,,58,58,0,0,0,0,0,0,0,
UI32ToF32,D64,2081,1,1,1,1,,,129,129,0,0,0,0,0,0,0,
BXor,bitwise,2082,2,1,1,1,,,64,64,0,0,0,0,0,0,0,
